Título,Fonte,Publicado em,Descrição,URL
Virginia desabafa após romper contrato com casa de aposta: “Coragem”,Metropoles.com,2025-07-01T17:11:13Z,A influenciadora Virginia Fonseca decidiu encerrar contrato com a Esportes da Sorte após polêmica envolvendo a CPI das Bets no mês passado,https://www.metropoles.com/colunas/fabia-oliveira/virginia-desabafa-apos-romper-contrato-com-casa-de-aposta-coragem
Lula culpa Congresso por não conseguir ‘diminuir os privilégios de alguns’,Abril.com.br,2025-07-01T16:46:54Z,"Petista citou Rodrigo Pacheco, Arthur Lira, Davi Alcolumbre e Hugo Motta antes de afirmar que lobby venceu discussão do IOF",https://veja.abril.com.br/coluna/radar/lula-culpa-congresso-por-nao-conseguir-diminuir-os-privilegios-de-alguns/
É isso mesmo: é “nós contra eles”,Diariodocentrodomundo.com.br,2025-07-01T15:28:19Z,"Nas últimas legislaturas, a escolha do presidente da Câmara, no Brasil, não tem sido exatamente um exercício democrático. Tem sido, antes de tudo, um rodízio no comando de um negócio sujo — muito sujo — e altamente lucrativo. Sai Arthur Lira, entra Hugo Motta…",https://www.diariodocentrodomundo.com.br/e-isso-mesmo-e-nos-contra-eles/
“Congresso da Mamata”: campanha do PT ganha destaque na web,Diariodocentrodomundo.com.br,2025-07-01T15:22:52Z,"A expressão “Congresso da Mamata” se tornou um dos assuntos mais comentados no X nesta terça-feira (1º), ultrapassando 163 mil publicações no começo da manhã. O termo ganhou força após críticas à atuação do Congresso Nacional, que derrubou o aumento do IOF pr…",https://www.diariodocentrodomundo.com.br/congresso-da-mamata-campanha-do-pt-ganha-destaque-na-web/
"Governo aciona STF para manter alta do IOF, vetada pelo Congresso",Ig.com.br,2025-07-01T15:03:30Z,AGU afirma que derrubada do decreto fere a separação dos poderes e coloca em risco o equilíbrio das contas públicas,https://ultimosegundo.ig.com.br/politica/2025-07-01/governo-aciona-stf-para-manter-alta-do-iof-vetada-pelo-congresso.html
Secretários estaduais querem mais dinheiro das bets na segurança,Metropoles.com,2025-07-01T06:01:37Z,Proposta do conselho de secretários quer aumentar o percentual destinado do imposto das bets para a segurança pública,https://www.metropoles.com/colunas/fabio-serapiao/secretarios-bets
Mudança de tom de Lula causa reação no Congresso e clima piora,Metropoles.com,2025-07-01T05:00:06Z,Governo tem adotado discurso mais duro para justificar aumento de tributos para quem ganha mais,https://www.metropoles.com/brasil/mudanca-de-tom-de-lula-causa-reacao-no-congresso-e-clima-piora
Virginia Fonseca toma atitude drástica e terá que pagar multa de 30 milhões,Terra.com.br,2025-06-30T18:37:48Z,"A influenciadora digital Virginia Fonseca decidiu romper, de maneira definitiva, seu contrato ...","https://www.terra.com.br/diversao/gente/virginia-fonseca-toma-atitude-drastica-e-tera-que-pagar-multa-de-30-milhoes,c005ea47675267a7a9df4b512597cf5eogn5cfk5.html"
"Apostas online crescem e elevam inadimplência no Brasil, aponta levantamento",Startupi.com.br,2025-06-30T17:42:29Z,"Startupi

Apostas online crescem e elevam inadimplência no Brasil, aponta levantamento
O avanço das apostas esportivas e dos jogos de azar pela internet no Brasil tem impulsionado um mercado bilionário. No entanto, o crescimento da atividade vem acompanhado d…",https://startupi.com.br/apostas-online-crescem-elevam-inadimplencia/
"UX, interfaces amigáveis e apostas. O que isso tem em comum?",Uxdesign.cc,2025-06-30T11:40:57Z,"Você já esteve em um Cassino? Caso não, pode ser que já tenha assistido algum filme onde os personagens passem por um. Lembro-me do filme Percy Jackson e o Ladrão de Raios (2010). Em meio a…",https://brasil.uxdesign.cc/ux-interfaces-amigaveis-e-apostas-o-que-isso-tem-em-comum-fb716e00856c
"PT lança campanha que defende taxação de bilionários, bancos e bets",Globo,2025-06-28T17:44:48Z,Vídeos publicados nas redes sociais do partido tratam do projeto que amplia isenção do Imposto de Renda,https://valor.globo.com/politica/noticia/2025/06/28/pt-lana-campanha-que-defende-taxao-de-bilionrios-bancos-e-bets.ghtml
IOF: Gilmar Mendes pede redistribuição da relatoria de ação do PSOL,Diariodocentrodomundo.com.br,2025-06-28T11:23:16Z,"Publicado originalmente na Agência Brasil O ministro Gilmar Mendes, do Supremo Tribunal Federal (STF), solicitou nesta sexta-feira (27) a redistribuição da relatoria da ação na qual o PSOL pediu à Corte a suspensão das votações da Câmara dos Deputados e do Se…",https://www.diariodocentrodomundo.com.br/iof-gilmar-mendes-pede-redistribuicao-da-relatoria-de-acao-do-psol/
"PT lança VÍDEO pedindo taxação de ‘BBB’s: “Bilionários, Bancos e Bets”",Diariodocentrodomundo.com.br,2025-06-28T00:14:22Z,As redes sociais do Partido dos Trabalhadores (PT) divulgaram nesta quinta-feira (26) um novo vídeo defendendo o projeto do governo Lula que prevê isenção do Imposto de Renda (IR) para quem ganha até R$ 5 mil mensais. A peça também reforça a proposta de taxar…,https://www.diariodocentrodomundo.com.br/pt-lanca-video-pedindo-taxacao-de-bbbs-bilionarios-bancos-e-bets/
"Haddad diz que se AGU entender que queda do decreto usurpa prerrogativa, Lula não pode abrir mão de recorrer",Globo,2025-06-27T18:13:53Z,"Ministro da Fazenda afirmou disse entender a decisão do Congresso, de quebrar acordo para calibrar as alíquotas do imposto, e negou que as alíquotas fixadas para IOF câmbio tenham caráter arrecadatório",https://valor.globo.com/brasil/noticia/2025/06/27/haddad-diz-que-se-agu-entender-que-queda-do-decreto-usurpa-prerrogativa-lula-nao-pode-abrir-mao-de-recorrer.ghtml
O que acontecerá com o patrimônio de Virginia e Zé Felipe após divórcio,Abril.com.br,2025-06-27T14:41:11Z,Influenciadora e cantor divulgaram separação no fim de maio,https://veja.abril.com.br/coluna/veja-gente/o-que-acontecera-com-o-patrimonio-de-virginia-e-ze-felipe-apos-divorcio/
BateuBet é confiável? Confira licença no Brasil e segurança da casa,Metropoles.com,2025-06-27T14:18:03Z,"Sim, a BateuBet é confiável para quem quer apostar ou jogar em cassino. Conheça os aspectos que tornam a casa de apostas segura e confiável.",https://www.metropoles.com/apostas/casas-de-apostas/bateubet-e-confiavel
"Zé Felipe entra com processo para oficializar o divórcio de Virginia, um mês após o anúncio",Ig.com.br,2025-06-27T14:03:24Z,"Zé Felipe entrou com um processo para oficializar o divórcio de Virginia Fonseca, um mês...",https://ultimosegundo.ig.com.br/parceiros/gps-brasilia/2025-06-27/ze-felipe-entra-com-processo-para-oficializar-o-divorcio-de-virginia--um-mes-apos-o-anuncio.html
Como empresas de bets usam marketing agressivo para atrair apostadores,Terra.com.br,2025-06-27T08:27:01Z,Setor de apostas no Brasil gasta bem acima da média mundial em publicidade. Segundo ...,"https://www.terra.com.br/noticias/brasil/como-empresas-de-bets-usam-marketing-agressivo-para-atrair-apostadores,fa66a53d2e043257ab1e707900f5f3337sjwiaze.html"
Como empresas de bets usam marketing agressivo para atrair apostadores,DW (English),2025-06-27T08:08:00Z,"Setor de apostas no Brasil gasta bem acima da média mundial em publicidade. Segundo especialistas, regulação insuficiente no país também abriu porta para práticas agressivas para manter usuários presos a apostas.",https://www.dw.com/pt-br/como-empresas-de-bets-usam-marketing-agressivo-para-atrair-apostadores/a-73053254
"Tabata Amaral critica bets, apaga post e, sob pressão, refaz publicação",Diariodocentrodomundo.com.br,2025-06-26T22:42:24Z,"A deputada federal Tabata Amaral (PSB-SP) apagou uma publicação em que criticava o uso de dinheiro de casas de apostas para patrocinar as festas juninas em São Paulo. No post, intitulado “Bet é Cultura?”, a parlamentar afirmava que os festejos na capital paul…",https://www.diariodocentrodomundo.com.br/tabata-amaral-critica-bets-apaga-post-e-sob-pressao-refaz-publicacao/
,Uol.com.br,2025-06-26T20:23:16Z,"O governo arrecadou R$ 3,026 bilhões com a tributação sobre as bets e jogos de azar entre janeiro e maio deste ano, segundo divulgou hoje a Receita Federal. O valor representa um aumento de 40.000% em relação ao mesmo período do ano passado, quando for",https://economia.uol.com.br/noticias/redacao/2025/06/26/governo-arrecada-r-3-bi-com-bets-em-2025-e-registra-aumento-de-40000.htm
Tabata apaga crítica a bets que patrocinam festas do namorado prefeito,Metropoles.com,2025-06-26T19:20:37Z,"Em publicação, Tabata Amaral criticava patrocínio de bets em SP; cidade de João Campos, Recife também recebe dinheiro de sites de apostas",https://www.metropoles.com/colunas/paulo-cappelli/tabata-apaga-critica-a-bets-que-patrocinam-festas-do-namorado-prefeito
Revogação do decreto do IOF faz com que alíquotas voltem ao que eram antes; entenda,Globo,2025-06-26T16:19:44Z,Governo estuda alternativas após derrota no Congre...,https://valor.globo.com/brasil/noticia/2025/06/26/revogacao-do-decreto-do-iof-faz-com-que-aliquotas-voltem-ao-que-eram-antes-entenda.ghtml
Os impactos da regulamentação das apostas no Brasil,Globo,2025-06-26T14:37:35Z,Mercado em transição: como as novas regras moldam o futuro das apostas online no Brasil,https://valor.globo.com/patrocinado/pressworks/noticia/2025/06/26/os-impactos-da-regulamentacao-das-apostas-no-brasil.ghtml
Febraban alerta para uso de apostas digitais em esquemas financeiros ilícitos,Startupi.com.br,2025-06-26T13:47:44Z,"Startupi

Febraban alerta para uso de apostas digitais em esquemas financeiros ilícitos
O presidente da Federação Brasileira de Bancos (Febraban), Isaac Sidney, declara que as apostas esportivas online, conhecidas como bets, representam risco crescente para o…",https://startupi.com.br/febraban-alerta-bets-esquemas-ilicitos/
Governo Lula estuda reações à derrubada do IOF no Congresso,Diariodocentrodomundo.com.br,2025-06-26T13:24:59Z,"O governo Lula (PT) avalia medidas para reagir à derrubada do decreto que aumentava o IOF (Imposto sobre Operações Financeiras), uma das apostas da equipe econômica para cumprir a meta fiscal de 2025, conforme informações do Metrópoles. O presidente deve se r…",https://www.diariodocentrodomundo.com.br/governo-lula-estuda-reacoes-a-derrubada-do-iof-no-congresso/
Aposta Online apostas: guia para começar a apostar na casa,Metropoles.com,2025-06-26T12:01:23Z,"Saiba tudo sobre a casa Aposta Online Apostas no Brasil. Veja os principais esportes, mercados e ofertas da plataforma hoje.",https://www.metropoles.com/apostas/casas-de-apostas/aposta-online
Da (i)legitimidade das presidências de CPI para postular a reforma de decisão concessiva em HC impetrado no STF,Conjur.com.br,2025-06-26T12:00:36Z,"As atribuições e limites das Comissões Parlamentares de Inquérito (CPIs) encontram-se estabelecidas no § 3º do artigo 58 da Constituição, bem como em legislações específicas. Concomitante a isso, recentes precedentes do Supremo Tribunal Federal têm assentado …",https://www.conjur.com.br/2025-jun-26/da-ilegitimidade-das-presidencias-de-cpi-para-postular-a-reforma-de-decisao-concessiva-em-hc-impetrado-perante-o-stf/
"BC reduz déficit externo para US$ 58 bi em 2025, citando bets e fretes",Globo,2025-06-26T11:50:02Z,"""Os riscos para o cenário, no entanto, se mantêm elevados, principalmente em virtude das incertezas associadas às disputas no comércio internacional e ao conflito no Oriente Médio"", afirma o BC no Relatório de Política Monetária",https://valor.globo.com/brasil/noticia/2025/06/26/bc-reduz-deficit-externo-para-us-58-bi-em-2025-citando-bets-e-fretes.ghtml
Congresso barra aumento de IOF e impõe derrota ao governo,DW (English),2025-06-26T07:39:00Z,"Em questão de horas, Senado e Câmara aprovaram suspensão de decreto do Executivo que aumentava imposto sobre algumas operações financeiras; governo deve buscar alternativas para ajuste fiscal.",https://www.dw.com/pt-br/congresso-barra-aumento-de-iof-e-imp%C3%B5e-derrota-ao-governo/a-73043230
"Após derrubada do IOF, governo Lula estuda reações ao Congresso",Metropoles.com,2025-06-26T05:00:08Z,"Bloqueio imediato de R$ 3 bilhões em emendas está no radar, e judicialização no Supremo Tribunal Federal também é vista como possibilidade",https://www.metropoles.com/brasil/apos-derrubada-do-iof-governo-lula-estuda-reacoes-ao-congresso
Bruno Dantas alerta contra os perigos do mau uso das instituições,Conjur.com.br,2025-06-25T23:57:11Z,"O ministro do Tribunal de Contas da União Bruno Dantas fez um alerta sobre os perigos do mau uso de instituições como o Conselho de Controle de Atividades Financeiras (Coaf) e a Receita Federal. Segundo ele, é preciso manter vigilância total para que não seja…",https://www.conjur.com.br/2025-jun-25/bruno-dantas-alerta-contra-os-perigos-do-mau-uso-das-instituicoes/
Congresso Nacional enterra decreto do governo que elevava IOF,Ig.com.br,2025-06-25T23:51:18Z,Após a Câmara dos Deputados rejeitar o decreto que elevava o Imposto sobre Operações Financeiras...,https://ultimosegundo.ig.com.br/parceiros/gps-brasilia/2025-06-25/congresso-nacional-enterra-decreto-do-governo-que-elevava-iof.html
Deputados barram aumento de IOF e impõem derrota ao governo,DW (English),2025-06-25T23:40:00Z,"Presidente da Câmara dos Deputados, Hugo Motta, pautou de última hora projeto que susta medida do Executivo de aumentar imposto sobre algumas operações financeiras; governo deve buscar alternativas para ajuste fiscal.",https://www.dw.com/pt-br/deputados-barram-aumento-de-iof-e-imp%C3%B5em-derrota-ao-governo/a-73043230
Febraban vê risco no uso de bets para lavagem de dinheiro,Congressoemfoco.com.br,2025-06-25T21:40:29Z,"O presidente da Febraban, Isaac Sidney, destaca os perigos das apostas online para a lavagem de dinheiro e a necessidade de ação conjunta entre governo e sociedade.",https://www.congressoemfoco.com.br/noticia/109712/febraban-ve-risco-no-uso-de-bets-para-lavagem-de-dinheiro
STF e 'big techs': Corte tem placar de 8x2 para endurecer regras para plataformas,BBC News,2025-06-25T19:50:40Z,Supremo vai julgar se empresas podem ser obrigadas a deletar conteúdo mesmo sem decisão judicial,https://www.bbc.com/portuguese/articles/c3en4nqejgdo
"Com Congresso vazio, Motta pauta projeto do IOF e irrita governo",Ig.com.br,2025-06-25T19:36:26Z,"Nesta semana de São João, parte dos parlamentares está fora de Brasília. Mesmo assim, presidente marcou votação do PDL contra aumento do imposto",https://ultimosegundo.ig.com.br/politica/2025-06-25/com-congresso-vazio--motta-pauta-projeto-do-iof-e-irrita-governo.html
"Facções criminosas usam fintechs, bets e criptoativos para lavagem de dinheiro, aponta relatório",Globo,2025-06-25T19:21:41Z,"Coaf registra aumento de 766,6% nas comunicações de operações suspeitas entre 2015 e 2024",https://valor.globo.com/financas/noticia/2025/06/25/faces-criminosas-usam-fintechs-bets-e-criptoativos-para-lavagem-de-dinheiro-aponta-relatrio.ghtml
Febraban alerta contra risco de ‘bets’ serem usadas para lavagem de dinheiro,Globo,2025-06-25T19:05:24Z,"Presidente da entidade aproveitou ainda para criticar algumas fintechs, que segundo ele também não cumprem inteiramente as regras de prevenção à lavagem de dinheiro",https://valor.globo.com/financas/noticia/2025/06/25/febraban-alerta-contra-risco-de-bets-serem-usadas-para-lavagem-de-dinheiro.ghtml
Justiça obriga bets a alertarem que uso do Bolsa Família em sites de apostas é proibido,Terra.com.br,2025-06-25T18:28:59Z,"A Justiça Federal de São Paulo determinou nesta quarta-feira, 24, que plataformas de apostas ...","https://www.terra.com.br/noticias/brasil/politica/justica-obriga-bets-a-alertarem-que-uso-do-bolsa-familia-em-sites-de-apostas-e-proibido,0ef729c4d02372a75f3f9b3fa248eb81t3n3k4lk.html"
Aposta Online cassino: como começar a jogar na plataforma,Metropoles.com,2025-06-25T15:47:05Z,"Conheça no detalhe o cassino da Aposta Online. Veja como começar a jogar, quais jogos estão disponíveis e se há promoções ativas no catálogo.",https://www.metropoles.com/apostas/cassino/aposta-online-cassino
"Coaf registra oito vezes mais operações suspeitas do que em 2015, diz estudo",Conjur.com.br,2025-06-25T15:18:44Z,"O Conselho de Controle de Atividades Financeiras (Coaf) recebeu, no ano passado, oito vezes mais comunicações de operações financeiras suspeitas do que em 2015. Os registros de COS (Operações Consideradas Suspeitas) levadas ao órgão, que foram de 296 mil naqu…",https://www.conjur.com.br/2025-jun-25/coaf-registra-oito-vezes-mais-operacoes-suspeitas-do-que-em-2015-diz-estudo/
Justiça obriga bets a divulgarem proibição do Bolsa Família em apostas,Congressoemfoco.com.br,2025-06-25T13:26:16Z,Decisão liminar atende parcialmente ação que acusa empresas de lucrar com recursos destinados a famílias em situação de vulnerabilidade.,https://www.congressoemfoco.com.br/noticia/109691/justica-obriga-bets-a-divulgarem-proibicao-do-bolsa-familia-em-apostas
Lula tem menor taxa de conversão de MP das últimas duas décadas,Ig.com.br,2025-06-25T07:00:00Z,"O Presidente editou 150 medidas provisórias desde 2023, mas apenas 29 viraram leis",https://ultimosegundo.ig.com.br/politica/2025-06-25/lula-tem-menor-taxa-de-conversao-de-mp-das-ultimas-duas-decadas.html
,Uol.com.br,2025-06-24T20:53:14Z,"Este ano, pela primeira vez, cai na malha fina. O motivo: deixei de declarar um ""prêmio"" de R$ 354,06 apostando em bets. Acontece que nunca fiz apostas ou sequer me cadastrei em alguma casa de apostas.No entanto, sou mãe de um corinthiano que",https://economia.uol.com.br/colunas/mariana-barbosa/2025/06/24/o-dia-em-que-descobri-que-o-filho-menor-de-idade-fazia-apostas-com-meu-cpf.htm
Mundial de Clubes: como apostar na Novibet e garantir ofertas,Metropoles.com,2025-06-24T17:39:03Z,"Aprenda a fazer suas apostas no Mundial de Clubes 2025 na Novibet. Dicas, bônus, promoções e ofertas para suas bets na Copa de Clubes",https://www.metropoles.com/apostas/casas-de-apostas/novibet-mundial-de-clubes
Meu Deus! Lagarto INVADE mansão de Virgínia Fonseca e filhas da influencer têm reação inacreditável; assista,Purepeople.com.br,2025-06-24T02:01:11Z,"Nem zoológico, nem safári! A tarde de segunda-feira (23) foi de emoção selvagem na mansão de ...", https://www.purepeople.com.br/noticia/virginia-fonseca-idade-aos-26-anos-influenciadora-tem-mansao-milionaria-invadida-por-lagarto-e-maria-flor-filma_a408518/1 
"Apostas na Meridianbet: dicas, ofertas e como apostar na casa",Metropoles.com,2025-06-23T16:47:28Z,"Confira nosso guia completo para fazer suas apostas na Meridianbet. Confira ainda sobre bônus, ofertas e como se cadastrar na plataforma",https://www.metropoles.com/apostas/casas-de-apostas/meridianbet-apostas
Ofertas Mundial de Clubes,Terra.com.br,2025-06-23T10:59:21Z,"Diversas casas de apostas estão oferecendo promoções especiais para o Mundial de Clubes. Então, confira as oportunidades especiais.","https://www.terra.com.br/apostas/ofertas-mundial-de-clubes,07fdfbb9b9e6c68c8f14fadc82337fb34x64qftw.html"
Apostas online: como o desespero financeiro torna os mais pobres as maiores vítimas,InfoMoney,2025-06-22T11:02:00Z,"O mercado movimenta cerca de R$ 25 bilhões por mês, sendo até R$ 4 bilhões vindos de beneficiários do Bolsa Família
The post Apostas online: como o desespero financeiro torna os mais pobres as maiores vítimas appeared first on InfoMoney.",https://www.infomoney.com.br/mercados/apostas-online-como-o-desespero-financeiro-torna-os-mais-pobres-as-maiores-vitimas/
De Tigrinho a bets: jogos on-line foram alvo de 262 processos no DF,Metropoles.com,2025-06-22T05:46:04Z,"O ano com maior número de ações contra apostas e jogos de azar foi em 2021, quando o TJDFT recebeu 94 processos com o tema",https://www.metropoles.com/distrito-federal/de-tigrinho-a-bets-jogos-on-line-foram-alvo-de-262-processos-no-df
